dataset,image_id,candidate_pixels,candidate_pixels_selected_k,candidate_target_leakage_pixels,candidate_far_bg_ratio,candidate_high_evidence_mean,candidate_ohem_overlap_fraction,target_dilate_pixels,far_bg_pixels
NUDT-SIRST,000567,654,654,0,1.0,0.00010132230818271637,0.847457627118644,572,64964
NUDT-SIRST,001043,654,654,0,1.0,6.556974767590873e-06,0.847457627118644,650,64886
NUDT-SIRST,000798,655,655,0,1.0,9.903864111038274e-07,0.8044077134986226,646,64890
NUDT-SIRST,001085,654,654,0,1.0,2.3883274479885586e-05,0.8820143884892087,580,64956
NUDT-SIRST,000895,654,654,0,1.0,3.891247615683824e-06,0.8217270194986073,568,64968
NUDT-SIRST,001121,655,655,0,1.0,8.926310215429112e-07,0.9152046783625731,578,64958
NUDT-SIRST,000979,654,654,0,1.0,3.923754775314592e-05,0.8091286307053942,607,64929
NUDT-SIRST,000363,655,655,0,1.0,3.6019646358909085e-06,0.9878603945371776,285,65251
NUDT-SIRST,000311,654,654,0,1.0,4.899629857391119e-06,0.8820143884892087,571,64965
NUDT-SIRST,000229,654,654,0,1.0,8.685429747856688e-06,0.8766140602582496,828,64708
NUDT-SIRST,000234,654,654,0,1.0,1.0892887075897306e-05,0.8847262247838616,553,64983
NUDT-SIRST,001073,654,654,0,1.0,9.607054380467162e-06,0.8217270194986073,768,64768
NUDT-SIRST,000716,654,654,0,1.0,1.6353642422473058e-05,0.8685714285714285,768,64768
NUDT-SIRST,001005,654,654,0,1.0,2.3422192043653922e-06,0.8739255014326648,588,64948
NUDT-SIRST,001119,655,655,0,1.0,2.2518320292874705e-06,0.9728915662650602,289,65247
NUDT-SIRST,001327,655,655,0,1.0,1.4351287063618656e-05,0.9610778443113772,453,65083
NUDT-SIRST,000754,655,655,0,1.0,6.123087587184273e-06,0.9818456883509834,335,65201
NUDT-SIRST,000245,654,654,0,1.0,5.314459485816769e-06,0.9406528189910979,612,64924
NUDT-SIRST,000780,655,655,0,1.0,4.923435312775837e-07,0.6498740554156172,336,65200
NUDT-SIRST,000277,654,654,0,1.0,1.0913775440712925e-05,0.9150805270863837,715,64821
NUDT-SIRST,001052,654,654,0,1.0,3.3067357435356826e-05,0.7917808219178082,620,64916
NUDT-SIRST,000856,655,655,0,1.0,2.5938594262697734e-05,0.9407407407407408,358,65178
NUDT-SIRST,000871,654,654,0,1.0,5.87784597883001e-06,0.8659058487874465,719,64817
NUDT-SIRST,000531,655,655,0,1.0,2.201202732976526e-05,0.9350073855243722,342,65194
NUDT-SIRST,000472,654,654,0,1.0,7.545307744294405e-05,0.8820143884892087,625,64911
NUDT-SIRST,000083,655,655,0,1.0,1.0964315606543096e-06,0.8958031837916064,289,65247
NUDT-SIRST,000274,654,654,0,1.0,1.924958633026108e-05,0.6068796068796068,544,64992
NUDT-SIRST,000147,654,654,0,1.0,3.6445362638914958e-06,0.8739255014326648,684,64852
NUDT-SIRST,000096,655,655,0,1.0,9.720893103803974e-06,0.9068413391557496,660,64876
NUDT-SIRST,000152,654,654,0,1.0,1.0299416317138821e-05,0.8526912181303116,684,64852
NUDT-SIRST,001158,655,655,0,1.0,7.551328735644347e-07,0.7750677506775068,867,64669
NUDT-SIRST,000453,654,654,0,1.0,3.9447026210837066e-05,0.7651821862348178,1150,64386
NUDT-SIRST,000057,655,655,0,1.0,3.6707757544718334e-07,0.9321533923303835,289,65247
NUDT-SIRST,000411,655,655,0,1.0,8.122043254843447e-06,1.0,336,65200
NUDT-SIRST,000388,655,655,0,1.0,2.7032945126848063e-06,0.9969512195121951,285,65251
NUDT-SIRST,000082,655,655,0,1.0,3.1640049655834446e-06,0.8903318903318903,289,65247
NUDT-SIRST,000655,655,655,0,1.0,7.518056008848362e-06,0.7969821673525377,708,64828
NUDT-SIRST,000962,654,654,0,1.0,5.671551662089769e-06,0.8345021037868162,592,64944
NUDT-SIRST,001086,654,654,0,1.0,5.08558405272197e-05,0.8116343490304709,561,64975
NUDT-SIRST,000539,655,655,0,1.0,2.0770352421095595e-05,0.9378698224852071,357,65179
NUDT-SIRST,000381,655,655,0,1.0,2.9434647785819834e-06,1.0,285,65251
