image_name,teacher_student_absdiff_all_pixels,teacher_student_absdiff_target,teacher_student_absdiff_target_boundary,teacher_student_absdiff_far_background,teacher_student_absdiff_ohem_negatives,teacher_student_absdiff_topk_far_evidence,teacher_student_absdiff_detached_fp_components,teacher_rank_disagreement_topk_far,teacher_lower_than_student_on_high_far_rate,teacher_preserves_target_rate,per_checkpoint_variance_topk_far,per_checkpoint_variance_target,topk_far_pixels,ohem_negative_pixels,detached_fp_pixels,target_pixels,informative_topk_far
000213,7.696691092871193e-05,0.029097555654256473,0.011056716328489695,6.940322905120067e-08,7.3459549492995e-06,7.3459549492995e-06,nan,0.272,0.9166666666666666,0.8095238095238095,8.072156152434289e-11,0.014665709471370329,324,324,0,63,0
000217,6.159125931431946e-05,0.021796276586428576,0.008381357265575822,2.0908392928655e-08,5.091875760660653e-07,5.091875760660653e-07,nan,0.6047516198704104,0.9659442724458205,0.875,2.5905169106120626e-13,0.00687392653157709,323,323,0,64,0
000218,3.2572520967340853e-05,0.01675558211641284,0.003416777589975514,5.806117939878881e-08,1.0765177806547047e-06,1.0765177806547047e-06,nan,0.6541666666666667,0.9009287925696594,0.8939393939393939,2.0979059775763146e-12,0.003026835914367981,323,323,0,66,0
000221,3.111700005142617e-05,0.014119994624600033,0.0035597257090229607,6.308068161397973e-08,1.3595408213982114e-06,1.3595408213982114e-06,nan,0.8014842300556586,0.8328173374613003,0.8529411764705882,2.3508082135333545e-12,0.0030543083129544422,323,323,0,68,0
000222,5.560442546682604e-05,0.05578630928443197,0.011257819504661553,3.673637892880757e-08,9.762332744965253e-07,9.762332744965253e-07,nan,0.5619469026548672,0.9661538461538461,0.7647058823529411,7.842589389550645e-13,0.01976404132064565,325,325,0,34,0
000223,1.5641789930191928e-05,0.005205569234128822,0.004121256537127955,4.9891623682970974e-08,1.2855242441499006e-06,1.2855242441499006e-06,nan,0.5991379310344828,0.6584615384615384,0.9705882352941176,4.809327772107666e-12,0.0011258085572653672,325,325,0,34,0
000227,1.3519305573529591e-05,0.007186374403334282,0.0012213843026414313,2.9052246373486542e-08,1.1826242049469174e-06,1.1826242049469174e-06,nan,0.7600767754318618,0.9535603715170279,0.9,1.6331233588233895e-12,0.0005227843260140374,323,323,0,70,0
000228,6.409177599863118e-05,0.03863837752447176,0.0044195396409478765,3.968219724019793e-08,3.277746299073124e-06,3.277746299073124e-06,nan,0.48711943793911006,0.7616099071207431,0.8194444444444444,2.7512973986276054e-11,0.019905341061442372,323,323,0,72,0
000229,3.02722807708728e-05,0.012907043202883668,0.003384917601433036,8.171804411411524e-08,6.215801232110748e-06,6.215801232110748e-06,nan,0.3307493540051679,0.9442724458204335,0.9166666666666666,3.6913596264589694e-11,0.004148736601238169,323,323,0,72,0
000232,8.176113823245262e-07,0.0007095912335119335,6.062950216312813e-05,3.012973169118646e-08,2.359960693900995e-06,2.359960693900995e-06,nan,0.41075794621026895,0.92,1.0,1.861083473387227e-11,6.3289322294874425e-06,325,325,0,56,0
000234,8.621520410954452e-06,0.005416895295011586,0.0011596380292960154,1.291547862861186e-07,1.2034769461024553e-05,1.2034769461024553e-05,nan,0.44124700239808157,0.5446153846153846,0.9655172413793104,4.301582598191936e-10,0.0015281587661549706,325,325,0,58,0
000235,8.369915324085955e-06,0.003350033040624112,0.0011100789173422415,4.6293806950349263e-08,1.198806526267505e-06,1.198806526267505e-06,nan,0.688259109311741,0.9197530864197531,0.975,5.077740951011869e-12,0.00028198166013694294,324,324,0,80,0
