image_id,bg_reconstruction_error,target_residual_mean,background_residual_mean,target_residual_bg_ratio,candidate_pixels,far_pixels,ohem_budget,candidate_to_budget_ratio,target_leakage_pixels,flat_candidate_ratio,residual_auroc_target_vs_far
000444,0.23095136880874634,0.976173996925354,0.23095136880874634,4.2267512938350915,0,64256,642,0.0,0,0.0,0.94767853397651
001194,0.2302023023366928,0.8982223868370056,0.230202317237854,3.901882472837696,0,65247,652,0.0,0,0.0,0.9377170138888888
001156,0.11124956607818604,1.670587182044983,0.11124956607818604,15.016572566861939,0,65332,653,0.0,0,0.0,0.9995388454861112
000014,0.2406456470489502,0.9838610887527466,0.2406456470489502,4.088422545007089,0,65247,652,0.0,0,0.0,0.9843207465277778
000250,0.2583184540271759,1.324426293373108,0.2583184838294983,5.127106174280925,0,64821,648,0.0,0,0.0,0.9592608716114458
000134,0.1308562308549881,0.9549970030784607,0.1308562457561493,7.298062064672849,0,64990,649,0.0,0,0.0,0.9343197471217105
001301,0.7140284776687622,2.7158236503601074,0.7140284776687622,3.803522878004843,0,64924,649,0.0,0,0.0,0.947900390625
000768,0.1289389729499817,0.7421474456787109,0.1289389729499817,5.755803917924851,0,64996,649,0.0,0,0.0,0.8777043269230769
000823,0.0859723687171936,0.8976814150810242,0.08597235381603241,10.441512593710346,0,64840,648,0.0,0,0.0,0.9787147923519737
000040,0.32979005575180054,1.0880011320114136,0.3297900855541229,3.2990716812584657,0,65247,652,0.0,0,0.0,0.9321831597222222
000891,0.18702612817287445,1.3289109468460083,0.18702611327171326,7.105483419394779,0,64924,649,0.0,0,0.0,0.9902967087765957
000561,0.2876104414463043,1.1806315183639526,0.2876104712486267,4.104967087040959,0,64936,649,0.0,0,0.0,0.956330330141129
001200,0.16409647464752197,1.2358767986297607,0.16409647464752197,7.531403714092061,0,65281,652,0.0,0,0.0,0.9958767361111112
001233,0.31174466013908386,1.2511513233184814,0.31174468994140625,4.013384553730941,0,65247,652,0.0,0,0.0,0.979248046875
000119,0.3762601613998413,0.5092000365257263,0.3762601613998413,1.353319029661005,0,64844,648,0.0,0,0.0,0.6769157858455882
001324,0.33047449588775635,1.8376164436340332,0.33047452569007874,5.5605388639164355,0,65067,650,0.0,0,0.0,0.9863204956054688
000793,0.09313533455133438,1.0198200941085815,0.09313533455133438,10.949873096192901,0,65332,653,0.0,0,0.0,0.9850423177083333
000293,0.3811424970626831,1.317940592765808,0.3811424672603607,3.4578686606064157,0,64869,648,0.0,0,0.0,0.8795166015625
000143,0.17926053702831268,0.8384900093078613,0.1792605221271515,4.677493958837802,0,64838,648,0.0,0,0.0,0.906854248046875
001011,0.14186303317546844,1.8748513460159302,0.14186303317546844,13.21592598190786,0,64834,648,0.0,0,0.0,0.997236328125
000834,0.21298904716968536,1.7845550775527954,0.21298903226852417,8.378624281943928,0,64782,647,0.0,0,0.0,0.97210693359375
000095,0.3725546598434448,0.5002550482749939,0.3725547194480896,1.3427693226275117,0,65214,652,0.0,0,0.0,0.6700265066964286
000017,0.2152993083000183,1.0534051656723022,0.2152993083000183,4.89274756147562,0,65247,652,0.0,0,0.0,0.9934624565972222
001116,0.1954086869955063,1.0046762228012085,0.1954086571931839,5.141411016442177,0,64958,649,0.0,0,0.0,0.9783664279513888
000653,0.3377499282360077,1.5778021812438965,0.33774998784065247,4.671509217013769,0,64856,648,0.0,0,0.0,0.9656168619791666
000755,0.3295397460460663,1.5777323246002197,0.3295397460460663,4.787684470630347,0,64880,648,0.0,0,0.0,0.8936298076923077
000705,0.23921933770179749,1.7755303382873535,0.23921935260295868,7.422185199348264,0,64786,647,0.0,0,0.0,0.9829541015625
000723,0.10150375962257385,2.6869912147521973,0.10150376707315445,26.471837373441172,0,64780,647,0.0,0,0.0,0.9980686732700893
000738,0.34932294487953186,0.664716362953186,0.34932294487953186,1.902870603539717,0,64716,647,0.0,0,0.0,0.7467498779296875
001266,0.26844513416290283,2.307100534439087,0.2684451639652252,8.594308425455383,0,64936,649,0.0,0,0.0,0.9920811806955645
000364,0.23782514035701752,1.6763440370559692,0.23782514035701752,7.048641008008997,0,64681,646,0.0,0,0.0,0.98525390625
000791,0.08845840394496918,0.7529564499855042,0.08845841139554977,8.51198250236025,0,64890,648,0.0,0,0.0,0.9723307291666666
000048,0.14809869229793549,0.8151311874389648,0.14809869229793549,5.503972889910034,0,64380,643,0.0,0,0.0,0.95050048828125
000228,0.3647984266281128,1.024239182472229,0.3647984266281128,2.8076853070322345,0,64694,646,0.0,0,0.0,0.8287251790364584
000956,0.30650344491004944,1.5117526054382324,0.30650341510772705,4.932253707212023,0,64843,648,0.0,0,0.0,0.9851655505952381
