image_name,candidate_pixels,target_leakage_pixels,target_protect_pixels,boundary_protect_pixels,ohem_negative_pixels,ohem_overlap_pixels,ohem_overlap_fraction,far_hard_logit_mean,far_hard_prob_mean
000381,325,0,5,72,655,325,1.0,-12.595117568969727,4.842530870519113e-06
000527,325,0,17,96,655,325,1.0,-11.129759788513184,1.8045742763206363e-05
000309,323,0,69,192,654,323,1.0,-11.496071815490723,1.8652508515515365e-05
000065,325,0,9,72,655,325,1.0,-12.23159408569336,7.774540790705942e-06
000418,322,0,32,180,655,322,1.0,-11.257667541503906,1.851378874562215e-05
000306,322,0,83,239,654,322,1.0,-11.247588157653809,3.575836308300495e-05
000469,323,0,65,174,654,323,1.0,-11.183571815490723,2.2692733182338998e-05
000088,325,0,9,72,655,171,0.5261538461538462,-14.227513313293457,1.4526999621011782e-06
001007,323,0,64,207,654,323,1.0,-11.545560836791992,1.2399937077134382e-05
000690,324,0,22,102,655,324,1.0,-11.690126419067383,1.1289247595414054e-05
000686,322,0,42,216,654,322,1.0,-11.815088272094727,1.0643907444318756e-05
000428,322,0,98,233,654,322,1.0,-11.68929672241211,1.2430969945853576e-05
000605,324,0,14,105,655,324,1.0,-12.256481170654297,1.5638219338143244e-05
001067,322,0,78,256,654,322,1.0,-11.155938148498535,1.7753765860106796e-05
001025,323,0,44,197,654,323,1.0,-10.132075309753418,6.34421085123904e-05
001245,325,0,9,72,655,198,0.6092307692307692,-13.404119491577148,1.624384026399639e-06
001045,322,0,79,225,654,322,1.0,-12.134689331054688,6.511274023068836e-06
000767,322,0,26,174,655,322,1.0,-13.417413711547852,2.055975301118451e-06
000728,321,0,58,216,654,276,0.8598130841121495,-12.965977668762207,3.7441654967551585e-06
001065,323,0,67,205,654,323,1.0,-11.577167510986328,1.1421208910178393e-05
000540,325,0,18,90,655,325,1.0,-11.5455322265625,1.3217259947850835e-05
000658,322,0,38,192,654,322,1.0,-10.975943565368652,0.0003432200464885682
000549,323,0,54,161,654,323,1.0,-6.8400959968566895,0.007593443151563406
000522,318,0,163,407,653,318,1.0,-9.679606437683105,9.534553100820631e-05
000978,323,0,68,217,654,323,1.0,-10.455055236816406,4.3790932977572083e-05
000317,322,0,83,239,654,322,1.0,-11.948145866394043,8.566959877498448e-06
000117,322,0,34,192,655,300,0.9316770186335404,-12.59858226776123,6.442254743888043e-06
000184,322,0,52,204,654,310,0.9627329192546584,-12.679960250854492,7.00908685757895e-06
000631,325,0,15,84,655,325,1.0,-11.281682968139648,1.9375056581338868e-05
000459,323,0,72,213,654,323,1.0,-11.555256843566895,3.2266219932353124e-05
000804,322,0,32,186,655,322,1.0,-12.682574272155762,3.7560478176601464e-06
000819,322,0,36,186,655,217,0.6739130434782609,-13.226435661315918,2.194259423049516e-06
001048,323,0,32,184,655,323,1.0,-11.96599006652832,8.283723218482919e-06
000271,323,0,58,182,654,323,1.0,-11.186948776245117,1.5836685633985326e-05
000358,323,0,10,144,655,323,1.0,-13.267134666442871,2.3667955701967003e-06
000670,325,0,20,90,655,325,1.0,-12.082298278808594,9.264985237678047e-06
000145,325,0,20,88,655,325,1.0,-13.63733196258545,1.7660673847785802e-06
